"x","j","i","k","y"
52.6879021412773,1,0,1,322.298617421377
79.1814124744464,0,0,2,360.325536539019
11.4867428402041,0,1,2,49.3157641766281
-38.393891659545,0,1,1,-132.906536602941
15.7586934313409,1,1,1,37.5186370775346
-13.7067805601248,1,1,2,17.8554312215764
14.3651785686221,0,0,1,130.90790832172
-1.20541285000078,0,0,1,-51.9439933956271
-13.7583474123439,0,1,2,-117.900362530694
85.0804988653962,0,1,0,490.04765222775
48.5140500692386,1,1,1,137.657772846623
9.55541478812219,1,1,1,31.5943062135926
-2.9703295382734,1,1,2,201.754040055311
21.1519084147677,0,1,3,134.772540336197
53.0669261313331,0,0,3,315.81796961507
34.8241937020908,1,0,0,224.318980156447
48.3862142169381,1,0,1,137.589514848005
38.8211321247326,0,0,1,161.700237464757
96.5392644616542,0,1,2,284.412429556318
-14.446823026543,0,1,1,-66.0199516509565
54.7526852284028,1,1,2,405.544521702853
56.6676625688219,0,0,2,119.4817523338
51.6365958120084,0,0,3,281.041659687492
103.383794190638,1,0,2,449.027128945294
92.1184301927954,0,1,2,390.046531639733
32.8636715578773,1,0,1,195.403091669933
-3.93818252172964,1,1,3,90.4034164965151
7.40011907014416,0,0,3,110.714170507431
3.03789781917774,1,0,1,140.231004920548
8.60534423009192,1,1,1,111.643283717277
4.66174562858679,0,1,1,-112.573402656999
58.0828467251474,1,0,1,398.900495192334
25.8854086800737,1,1,2,192.627737855372
11.7661248134921,0,0,2,10.9901835232134
-14.6107525463178,0,1,2,-61.8999793486275
58.8942436603435,0,1,1,427.963828062452
-33.3582998327702,0,1,1,-15.9201003259713
63.9104649211108,1,0,0,133.773521741041
74.3369971985828,1,0,0,296.552789822097
13.107997652907,1,0,1,2.9359159859618
33.2739360397045,1,0,1,266.5073434935
22.6644234048428,0,1,3,59.7369533141754
39.2646597498683,0,1,2,295.253650864444
-42.9221197518972,0,0,2,-307.138471094775
31.8825266019647,1,0,1,54.8466187200856
0.190219367358495,0,0,2,-81.2736797860752
18.8891703023728,1,1,2,431.709695282746
-11.970277466509,0,0,1,-75.7148277562718
25.6789934361235,1,0,2,190.746251025689
95.8274588469176,1,1,2,515.485169543036
-1.76221535016489,1,0,2,141.217281045505
63.6723169619027,1,1,1,408.945714150504
41.7880381788227,1,1,1,331.073689660547
76.2218023809379,0,0,0,538.457128507883
63.024357788625,1,0,1,346.376949141118
11.9146876972275,1,1,3,275.046822763467
21.4385967453163,0,0,1,101.204917749664
19.771556622743,0,1,1,332.080977039915
69.3718752166714,0,0,2,472.878574375376
15.9066345699821,1,0,2,-0.212687207559526
13.9471681379612,1,0,1,107.550154248517
33.6254254494423,1,1,1,211.447971645067
110.699587037238,0,1,2,549.332426022834
71.0711484761949,1,1,1,629.850467411141
20.7718102105344,0,0,2,91.9874036302874
-20.0575906377387,1,1,1,-40.2817095813809
34.3224559284002,0,1,2,101.941306805475
91.1893617031711,1,0,1,616.729595568117
70.0166948697732,0,0,2,303.837363099617
21.1736939028919,1,1,2,237.185566001779
-19.2373692039587,1,1,1,82.8565656723491
79.6824572737257,1,1,1,359.255201423169
15.0759654737498,0,0,2,171.794080812099
109.119280621255,0,0,2,258.065118329044
70.2001634065565,1,0,2,327.420341882059
58.6271968372642,1,0,1,375.978165768617
67.7085097278327,0,0,2,353.74413448795
-15.1992982811361,0,1,1,-72.0478862053963
39.7847602507188,1,1,1,391.464969700048
14.1316686156453,0,1,1,172.202223639169
10.6199137162868,0,1,1,-13.4938535017947
29.1471998691632,1,1,0,207.376947452404
78.3542983650277,1,0,2,368.784420994108
57.7412573393534,0,1,3,83.8899838360343
9.16055860505479,0,1,1,-5.36623672522207
3.40363987496578,0,0,0,-23.1935647162532
-3.19470822759627,1,1,1,53.4513725061028
12.9122888222618,0,1,2,168.324694499909
10.3195980801061,0,0,0,-27.8099323770714
31.3179809883843,0,1,3,124.260923104246
75.8826453342002,0,0,3,298.831277115016
86.0992835369662,1,0,2,558.086216298782
18.1468498254063,0,0,3,38.1549681112635
32.0498154731881,0,0,0,40.1682531155037
70.4770556921634,0,1,2,297.132335662448
43.6787751484237,1,0,2,251.397939113079
74.5144810034243,0,1,0,381.301654177199
54.3879710548835,0,1,1,407.994302621425
48.6183300546397,1,0,3,407.306060556036
-9.74452178320774,0,1,0,-221.812749558044
