"x","j","i","k","y"
39.9723310640317,0,0,1,-55.6727269917445
23.3703643998856,1,0,2,216.605377686443
89.7098953295154,1,1,1,521.970337685705
13.6245382427603,0,0,1,-81.783208401233
106.415346260879,1,1,1,771.6508418007
38.6716946167824,0,1,0,199.678212448182
9.14012053481949,0,1,1,44.3448971898877
135.429028328046,1,0,1,414.982289025381
-17.5568722130856,0,1,3,48.5961877835104
-19.8477100904721,1,0,1,-27.4631580536496
74.6248907303067,0,0,1,265.288147255608
10.4851882928653,0,0,1,50.8222793072445
60.3666557826669,1,0,3,351.911121967078
36.3983257562609,0,0,1,214.203200476843
31.0625508957565,0,0,0,194.308104003245
124.488012420681,1,1,1,825.08547110543
42.9850959417962,1,0,3,453.134673751833
-27.1681599839037,1,1,1,-25.2845464856615
38.507690304814,0,0,2,212.710486970772
38.289393572695,0,1,2,33.2910813593527
83.9955992771917,0,1,0,364.348382779348
60.1743890193916,1,0,1,478.714906885582
29.8143103836604,1,0,1,168.307160523012
-20.7473713054465,1,0,1,-88.454506462268
62.9291059869463,1,1,0,594.859643412868
71.2409074592819,1,1,3,412.659080361184
53.8943978067587,1,1,1,347.381491670049
90.9771978060212,0,1,0,462.536794351995
-45.2723111275641,1,1,0,45.9765712384593
40.826789745875,0,1,3,176.486101358774
27.4605747599718,1,1,1,279.67287899028
61.386409625084,0,0,2,226.181858110871
36.6416790906503,1,1,0,447.320724985368
13.7362854058134,1,1,1,169.982426509317
10.7981792871067,0,1,2,-37.1116936981153
-1.49520551545356,1,0,2,140.341285727921
83.1194008688471,1,1,1,336.799547706651
63.278588291979,1,0,1,358.478667210083
102.533849884317,1,1,2,517.821900645564
-37.0268804779631,0,0,3,-310.195564963881
78.4505555912434,0,0,3,312.927261989559
-45.8441990714502,1,1,1,-30.5891455927463
71.2817388483642,1,0,2,303.046118400724
37.5188288579623,1,0,0,273.389368945411
67.5880728449414,1,0,0,394.799417542107
16.7777160094759,0,1,2,118.219984166174
67.8979919232717,0,0,1,208.495849323416
44.4248209886392,1,0,2,289.504572581303
44.9871232462007,0,0,1,97.1252019396173
89.9533545728563,1,1,2,520.095907403527
75.2876993887702,1,1,3,511.363721575994
-14.0807811396244,1,1,1,30.6984648557251
93.9355174587713,0,0,2,391.870808086459
71.3098231544345,0,1,1,439.101689065897
20.5770651332399,1,1,2,267.555287655488
6.36903880804184,0,1,0,82.315978616187
22.2027681453156,1,1,1,294.822877181326
73.8210855761876,1,1,2,369.44255090913
68.2562971583131,0,1,3,350.796276350172
-3.29391876528631,1,1,1,115.241152701322
28.5988553628,1,1,3,179.837185404775
9.43349568469931,1,0,0,129.385707318925
-8.24126909720425,1,1,0,138.888337416613
82.1408372333568,0,1,1,290.62502863058
93.8824310317191,0,0,1,353.358931101212
56.6958302588062,0,0,3,241.067617303062
-15.8645377322816,0,0,3,-36.6416962722174
64.6527953779135,0,1,2,293.89255786017
19.3688662387901,1,0,0,386.423997903825
-3.13597551187073,1,0,2,168.284487370288
42.6522703939035,1,1,1,188.501677446188
68.3783188342406,0,0,1,291.626382791388
-3.30005419471564,0,0,1,4.36531022318034
109.119280621255,0,0,2,258.065118329044
38.0795255890712,1,0,1,314.311208519851
-0.600887003406342,1,1,3,111.324455708292
15.0079612452179,1,1,0,112.634452335016
19.5117786769518,1,1,1,454.671384097174
127.923522550428,1,0,1,769.90201235398
25.8589530586169,1,1,1,314.849866168455
90.7494141435468,1,0,3,484.300448740445
17.1874314089547,1,1,1,288.571093178611
-53.6672432874691,0,1,1,-286.73101313307
58.1032127575818,1,1,1,200.35764629869
77.6658640078668,0,1,3,593.645969609681
-69.0755104091454,1,0,3,-312.805264783345
88.3268614268511,0,1,1,406.279300909716
49.1056181042284,1,0,1,218.494514929951
-14.8798552119298,0,0,1,18.5299646529735
-18.6124294639013,0,0,1,-30.0513777518634
105.760087619823,0,1,3,514.960314959944
-14.4422461839769,1,0,2,23.4582882056045
39.3865706670374,1,0,2,294.273139788737
8.79502883378295,1,1,2,263.527173534729
78.154465214534,1,1,1,651.56406875322
79.4931970401825,0,1,0,370.527430397361
52.3579145084423,1,0,2,210.708169028012
-15.8788820472366,1,0,1,-37.6441061067139
72.7293072664361,1,1,1,439.206816725212
27.0352027273617,1,0,1,74.1563191674642
