"x","j","i","k","y"
12.5901195223793,1,0,2,-10.4913966222738
13.677128036017,0,1,3,104.366207764303
93.9834951241459,1,1,2,536.883619311624
70.3515854411446,0,1,2,429.100277675568
73.5485921242187,1,1,0,375.505723522492
-2.9703295382734,1,1,2,201.754040055311
56.5531176976025,0,1,0,330.079885504608
27.7851990049077,1,0,2,91.5112697800405
72.7339517558275,0,0,0,437.365907608806
136.346472719295,0,0,1,496.436120297096
42.7415248798351,1,1,2,270.339578289157
51.7576280710825,0,1,0,378.943915499454
1.59819921253841,0,1,2,7.90143600709196
73.093803911598,1,0,1,453.134872588513
89.7303186647608,0,1,1,527.329775391542
21.0147952119629,1,1,3,212.939779328608
2.51687115288117,0,1,2,134.226390426642
54.0700471063309,0,0,1,407.040402111577
-59.6769754613483,0,0,1,-279.765464304317
-23.3372739707672,1,1,1,-34.1651853783944
7.71319826122969,1,1,3,195.467084998645
6.45694059112572,1,0,1,398.743620638741
18.4818267525244,0,1,3,369.80243416855
-15.2377171447009,1,1,1,114.819087870817
21.2493272974973,0,0,1,137.340959050627
80.2692116962804,0,1,1,220.972429184349
33.8134852939287,0,1,3,176.644169213683
29.1007083343807,1,1,1,143.774815892799
75.8144039911241,0,1,3,499.09499380645
67.6830013229204,1,1,2,660.891734972466
5.15256285228084,1,0,2,101.092738188545
13.7128162124993,1,0,2,291.09574645326
-51.5686388273728,1,1,2,-60.6946737201653
44.0161260836786,0,0,1,130.224722425832
-21.9718173341563,0,1,2,-239.496018913789
7.44343403259997,0,1,1,205.067779167436
72.2306661764135,1,1,2,515.898684377222
8.78652566216656,1,0,1,142.206743228975
-26.9107010799933,0,1,3,-182.639020124932
70.8384604709899,0,1,2,127.047496023567
83.0114522997843,1,0,1,395.782111656864
45.0282034663257,0,1,1,323.492174047329
58.1305170375186,1,0,2,304.349896240161
31.5111055758099,1,0,2,279.056103525726
86.9549810290037,0,1,1,475.035888909971
56.932027146537,0,0,2,288.776622468901
81.4218326392214,0,0,0,491.964821239342
2.81065182531122,1,1,0,240.84065791429
28.3651433904376,1,1,2,202.104475871315
110.828237328354,0,1,0,477.396280373118
-6.37202254642889,0,1,1,123.509773066492
81.4303966697526,1,0,3,519.045703701349
36.6115410838601,1,1,2,447.840668431254
4.41319480942636,0,1,2,-128.760068932449
6.32345118134811,1,0,1,302.913547236911
108.322826349127,1,0,1,657.788212579162
-14.4993326098139,0,1,2,42.4566540471992
28.6157711063457,1,1,1,318.770127899934
50.1541642763902,0,0,1,227.267512691964
59.5726461803948,0,1,1,413.274296592843
37.6176924314709,0,0,2,155.002553823048
42.5993219623089,0,0,1,162.749665041187
43.4488955414995,0,0,2,333.497391183377
57.9155252603548,0,1,2,302.17636677701
45.7165230784388,1,0,3,310.074277136637
32.0955201602931,1,0,2,315.952656912669
70.7384251430263,0,1,3,401.196263848143
33.7070432331641,0,1,1,268.900595312468
74.5802596910015,1,0,2,327.085883910891
47.3570606680178,0,0,1,162.710223802224
75.5594748909911,1,0,2,386.366533630226
22.2119456641478,1,1,2,318.851293384522
61.2770167519917,0,0,1,385.923881453843
0.847553178747695,0,0,1,68.0960070226229
51.3321872589258,1,0,3,340.023799259011
-39.3694679484373,1,0,1,1.93363976069298
83.0247770181378,1,1,0,691.019664612972
40.0124547553431,1,0,1,66.5605389994668
33.9626052137086,1,1,2,242.748963154493
-2.0732114144588,0,0,2,-174.135062315872
35.8649890985831,1,0,1,318.60439159758
-12.599665756857,0,0,3,-46.56640955765
95.1091086581765,1,1,0,647.522200465143
-2.60306326483401,1,1,2,100.951483261189
13.5463247805206,1,0,1,104.919387823864
-49.4771207730208,0,1,1,-262.172983485283
62.8527734054006,0,0,2,210.131940726547
45.2809712156284,0,1,1,279.800340563173
43.2271950590241,1,0,2,327.425212402687
77.8715639820107,1,1,2,548.671452901625
66.9109393026912,1,1,1,355.780932020347
43.8996913678527,1,0,1,259.217272948857
21.8803835845664,0,1,3,274.322605351633
50.0700325639595,1,1,1,203.6894362799
111.514561043585,0,1,2,466.284849537549
8.0622069675879,0,0,2,283.641200583816
69.7114166444661,0,1,3,406.125246867272
58.4814837829965,0,0,3,177.064754800945
15.798233426523,0,0,1,60.9300569977012
82.9497630423687,1,0,2,576.648417333615
