"x","j","i","k","y"
45.472846458518,1,0,0,243.815035318215
106.853253667304,0,0,1,427.990828211803
46.3275222161278,1,1,1,223.310815700797
90.0770054296148,0,1,3,219.916060225956
-2.54343832344495,0,1,2,113.019657969231
10.0785285332696,0,1,1,-18.3073649349065
-52.8910732609508,1,1,3,-64.5470219973649
91.6157645099407,1,0,0,678.656423161833
117.50243673084,1,1,2,632.644659233859
89.0942233555172,1,0,0,629.385466026055
17.6312031921314,1,1,2,177.236045662978
12.0267269220053,0,0,3,158.047097419279
-23.0325306209804,1,1,1,-11.9914571722727
32.6001808382815,0,1,2,211.401010965308
32.7128458937595,1,0,2,102.82261780236
66.7527080897613,0,1,2,367.001161018306
53.4536645255638,0,1,2,345.952899322918
93.3033430023039,0,0,2,421.808760909853
60.6689551559841,0,1,1,264.130644973331
35.4958112974618,1,1,1,314.706365268051
76.3660286793656,1,1,2,375.989338098709
66.3821098039299,1,0,1,171.595216578833
7.19624514251031,1,0,1,65.8249053869904
38.8374480101894,1,1,1,51.0937115796233
-14.3523485823758,0,0,1,-45.2797092666008
60.8319893866121,1,0,2,261.256194847531
22.03720273285,1,1,2,186.0250280795
25.7493330626817,1,1,1,228.580185625665
2.860289964033,1,1,0,170.298382504271
82.1418463683692,0,0,2,328.633494148368
110.148802147409,1,1,1,768.349702646664
37.7615145041315,0,1,2,119.325679092255
46.449639208389,1,0,1,516.616168977246
36.4122409794316,1,1,2,393.26713270276
63.226527922168,0,1,1,286.350273499674
74.3970412601554,0,0,2,223.460611815397
-7.10842731986184,0,0,3,-75.7584271720208
47.693942060456,1,1,2,135.207187536598
-55.5292205538224,1,0,3,-85.8840299219789
-13.5445654899411,1,0,1,39.8239826839906
62.6991828981953,1,0,2,280.571929581917
41.9556780684377,0,0,2,221.350736085274
54.578778549573,0,1,1,314.090165243814
32.9944761141978,1,0,1,128.80853755142
-53.9745048654719,0,0,0,-55.6462396651903
93.0373101439382,1,0,2,339.859815317371
38.3996301394781,1,1,1,324.519688965607
67.7698156937531,1,1,1,403.341549965206
33.2551605415696,1,0,1,108.436498756646
38.5288733911522,0,0,2,171.504091171867
-7.91628855403248,0,1,1,-73.0168384264006
102.177062863116,0,0,0,529.529232329371
108.600809482135,0,1,1,410.719815284726
-9.29187542656889,1,1,0,-29.0005937758723
62.7658322290281,1,0,2,491.047746326941
88.3037274286876,0,0,0,511.728094785854
4.87131837401152,1,0,0,15.7968651900832
28.2301668665004,1,1,0,360.774111232152
90.9230988758392,1,0,2,500.919461581077
65.2593666354851,0,1,0,388.654866454662
19.5612000843257,1,1,1,22.821099772008
51.4630905563017,1,1,1,258.12784296116
-40.6998359384937,0,1,0,-217.072735630924
9.93645115059774,1,0,0,209.451891518771
84.8199057237562,1,0,0,468.305125083595
41.5015358810295,1,0,1,345.993575903675
84.2508141674842,0,0,2,312.473606567563
104.325488647983,1,1,1,641.026578006092
23.2232361077115,0,0,2,-85.096734267411
-21.5664276307625,1,0,1,-67.4996281325532
44.6628471359497,0,1,2,21.1207338919095
24.6454648595781,1,0,1,197.980944601399
10.191107961447,1,1,1,239.16025890641
76.2335525861689,0,0,2,384.532617081242
64.7020963378237,0,1,2,223.122563919149
86.3648677539795,0,1,2,257.552315207065
-23.2524093173799,0,1,1,-122.665654559965
23.7395742628133,0,1,1,197.007216559607
-8.02974714978978,0,0,2,45.8667766510158
67.0482793740199,0,1,2,292.83066960374
-68.2867636892574,0,0,0,-135.535437195002
48.1902361085539,0,1,2,357.54128062691
16.5550069373684,1,1,1,296.25035081894
49.6900273698396,0,0,2,229.610140851805
99.7206744165825,0,1,2,375.842841727133
70.2001634065565,1,0,2,327.420341882059
71.8202403116524,1,0,0,242.487333874379
90.4342804879488,1,1,2,636.149077578157
42.9410822605193,1,1,0,22.4777595091621
69.7878280267861,1,1,2,512.91863650873
67.4568880301489,1,0,1,339.44368766029
173.029980588979,1,1,2,839.940690105053
-36.5612087224423,1,1,2,155.433213857366
52.2336606084528,0,1,2,393.818359783654
40.2613899663193,1,0,2,117.432944898953
-32.7322171966569,0,0,0,-256.238228171761
77.3952967361903,0,1,1,467.480524957688
15.798233426523,0,0,1,60.9300569977012
83.4819737929137,1,0,2,389.066915101444
46.0874400699596,1,0,1,79.0989368086955
