"x","j","i","k","y"
38.9697143185944,0,0,1,165.407349683637
92.1878849665698,1,1,2,758.15490930438
25.5112799668807,0,1,2,209.911311233028
25.6464332362048,1,1,1,354.209453439916
74.8135027590204,0,0,1,289.65991521028
26.3104983066475,0,0,1,1.55324485458462
54.5724619775242,0,1,1,239.627548449753
40.8202083151763,0,0,2,-38.5502450348903
9.55541478812219,1,1,1,31.5943062135926
63.1337626014577,1,1,1,516.706469530007
125.669125284068,0,1,2,367.412558847597
75.6319929979583,0,0,1,507.771520076325
22.270370109844,1,1,1,362.507157623328
37.2695231543239,0,0,2,-9.11670915692537
-17.7469191516965,0,0,1,-22.4902253648494
17.1329613050697,0,1,1,-8.62925686830367
35.0354106662789,0,0,2,143.254098731795
69.5458440490597,1,0,1,567.775809933492
24.7128894998276,0,1,1,101.753789558555
63.3037903032671,1,1,0,321.207535768957
103.120604955384,0,1,1,475.98099141731
41.5326777646123,0,1,0,363.832246060603
55.1437249335413,0,1,3,405.096093430592
111.284715967034,1,1,0,618.456436966035
46.3473589544604,1,0,0,168.096251442359
41.0717415326871,1,0,2,178.4546106562
83.9955992771917,0,1,0,364.348382779348
44.9371652181709,1,0,1,257.539285196619
30.3713643683199,1,1,2,96.0423707990801
89.7303186647608,0,1,1,527.329775391542
-30.5171367459324,0,1,1,-129.818415191656
107.204252558276,1,0,1,455.957444461687
143.56885824656,1,0,0,725.526868294404
79.8855662592456,1,1,1,629.520212558707
13.7216501695624,1,1,2,235.318353282059
110.148802147409,1,1,1,768.349702646664
64.5677507718715,0,0,3,208.957037948221
20.880935036753,0,0,2,246.114540778368
47.3917052339603,1,0,1,226.099263994885
53.11218717679,1,0,1,339.392836904726
69.4809279144655,0,0,2,425.901619143277
4.33139952264818,1,1,1,158.035428117598
-24.0252204818129,0,1,3,42.739498060581
82.9058790273508,1,1,3,495.277028200399
-12.4768226351921,1,0,1,319.211393783012
45.9307444419155,0,0,2,117.326390841861
15.2886928546592,1,1,2,191.344227478039
68.1099598195837,0,1,1,125.712335344585
-20.6005719347117,0,0,1,-166.258844172877
-6.67427286120812,0,1,1,185.788363248025
2.83726702464501,0,1,2,58.7999992637323
72.5228996073838,0,0,2,546.596473434426
-23.8450110256242,0,0,3,-204.205023868117
0.978509466682489,0,0,1,-52.3959018966303
131.403089116374,1,0,2,578.473865192513
22.8217851261546,1,1,1,206.975735347542
2.48116822915527,0,1,1,286.278215561542
-39.7259735527449,0,1,2,-179.321098427372
100.067203752309,0,0,2,537.346947548599
41.7880381788227,1,1,1,331.073689660547
49.2173656020419,1,1,0,226.894440668055
47.4916480862921,0,1,3,256.942450643213
16.2127133339733,1,0,2,39.5010701522855
85.9922943802786,0,1,2,520.365094767206
23.3193406846126,0,1,3,163.213500409315
-32.4985712368926,1,1,1,44.631655457316
11.4054216303401,0,1,0,75.5790138700311
43.40841108811,0,0,2,179.918398289255
70.2336356930894,0,1,2,231.815077389547
117.926761961068,1,1,2,540.485605000468
43.254493796536,0,1,0,56.6682408519755
5.31059738091255,0,0,1,-140.161846716104
51.8467676489798,1,1,0,318.408411356072
43.7045752443902,0,1,2,110.221972385333
18.8524618074763,0,0,1,134.435766683784
65.6352090553169,1,1,1,376.106579290182
25.0673381205525,1,1,0,259.182302929496
42.3230676122993,1,0,2,308.999195899178
22.0207625625832,1,0,3,234.049559961496
-55.0341631477557,1,0,3,-247.186896234756
2.08820238831581,1,1,2,146.632202350059
99.6872284203331,0,0,2,515.645710729914
24.9200790340353,1,0,1,90.1802514146651
60.7893297111888,0,0,0,268.836759858355
97.0859908408298,1,1,1,642.566472946626
90.5496573208527,1,0,1,491.238156881727
84.0578133894114,0,0,3,236.637287053024
36.8272128776776,0,0,2,229.255700872785
87.1563898967507,0,1,1,324.610166374316
27.8663455519506,0,1,1,28.77580070354
67.9768760111831,0,1,1,217.894913175908
81.0781485911041,0,0,3,625.28396964985
-19.6055634011758,0,0,1,-38.4257304868082
33.579992158327,1,0,2,175.754410378036
124.546712074543,1,1,1,684.531662445876
90.997649026146,0,1,0,369.324491732949
171.882161289196,1,0,3,764.510633547645
61.7184966265965,1,1,2,229.371084608913
17.0282730408721,0,1,1,210.880357635118
27.0352027273617,1,0,1,74.1563191674642
