"x","j","i","k","y"
11.058209654979,1,0,3,-30.2191649846904
6.10741198394686,0,1,0,-103.763082817163
88.904056980776,0,1,1,507.033892744386
-13.3494224247123,0,1,3,-133.36385277906
77.4767363597803,0,1,2,344.71280878353
88.5459769473617,0,1,2,387.089403673911
43.0056160263217,1,1,2,405.951662331996
62.716658392409,1,0,1,416.610500535151
11.1905435172643,1,1,3,228.098520860547
58.5588307768766,1,0,3,277.088390947248
83.3247040517657,1,0,1,502.97805628248
10.8284892539286,1,0,0,275.042561807522
63.4940972066373,1,1,1,435.188988425724
89.3483002852806,0,1,1,489.495296413777
14.9338563817602,1,1,2,245.200282285268
72.1681384133935,1,0,2,403.888123642834
9.39328910071572,1,0,1,62.3927062215063
18.9162212398918,1,0,2,293.052061024216
64.1584042856607,0,1,2,273.611986990819
69.5458440490597,1,0,1,567.775809933492
-20.3916793689538,1,0,2,78.3183845653419
-58.9111115695615,1,0,2,-110.89584885705
-19.6801592843613,1,0,2,9.08668562048555
-7.49944388473916,1,1,1,-50.343354774
42.3395759867134,1,0,1,353.322299528274
97.2664656202521,0,0,1,376.659959136534
60.3994947277584,1,1,1,432.90612060452
102.193681589598,0,0,1,468.544595365074
57.9200817615151,0,0,0,163.567786486682
64.6456213428675,1,0,2,231.773499700439
73.8735559214203,1,1,3,506.203224266574
11.2072229702481,0,0,3,89.1825784991317
-5.07009629741751,0,0,1,71.1143855313269
30.0514102397313,0,0,2,219.711159011119
74.2152438894771,1,1,0,246.346507424584
-24.8647323727353,1,1,0,87.7363060783809
64.3664495284278,0,1,2,446.942953428995
53.11218717679,1,0,1,339.392836904726
59.6031857415114,1,1,1,281.413826673173
-59.6769754613483,0,0,1,-279.765464304317
87.9306861110547,1,0,1,332.948101494033
113.659141855616,0,0,2,395.361640447827
77.0671484057648,1,0,2,389.730432207485
73.3292774472542,0,1,1,427.210566776504
-5.02041179882,0,0,1,177.53816392233
68.9239478056442,0,1,1,147.934762702345
-14.3591603839978,1,1,3,256.048480480161
7.57295748177592,0,0,1,-84.7713525472736
-9.0393576341231,0,1,1,-37.0590785137941
9.46436194818565,0,0,1,-25.7654932858375
54.9408636279958,0,1,2,284.290936568284
23.6484048665928,0,1,1,234.885045839595
77.5176280497235,0,0,2,341.339378162222
84.0171524852249,0,1,1,583.102223745072
82.3641680750807,1,1,2,416.224680106942
30.9853791987663,0,0,0,-20.9502342041027
44.9871232462007,0,0,1,97.1252019396173
54.1565731295867,1,0,0,163.629502576802
2.81065182531122,1,1,0,240.84065791429
69.3864391285647,0,0,2,339.768846316617
78.7148756826006,0,0,2,315.713865125068
-11.1684207945669,1,0,2,-48.5518357337478
7.60297311787499,1,1,3,1.87440471895971
110.280523744111,1,1,1,586.424971003895
15.9066345699821,1,0,2,-0.212687207559526
20.6812128739177,1,1,2,196.749659014875
103.239697971061,1,0,2,663.676013175401
-21.9420397176208,1,0,3,64.0135667262011
44.9741437064367,1,0,2,245.213217318573
83.5845443281157,1,0,2,641.021152527791
5.39221105052038,1,0,2,182.729594605777
24.967715919301,1,1,1,272.125866229945
-17.018654648008,0,0,1,-98.1412126798393
142.103151589499,1,1,2,833.138634765336
58.1631055616994,1,1,3,296.886968430411
37.3143488770616,1,0,2,168.196228295671
67.8634215269311,1,0,0,432.550521648716
35.4578924608879,0,1,0,17.5648411695146
93.7910476868058,0,1,0,428.602031110253
52.5758742302664,1,1,3,248.315913434218
47.7196173859768,1,1,1,360.790027163089
47.8989416819927,1,0,1,92.9443436688073
48.400580138057,1,1,1,346.815615991171
34.245717048712,1,0,2,407.899780713899
83.543603001764,1,1,3,413.495301034616
5.58278018410753,0,0,2,0.348602548303568
97.4539711917244,0,1,1,559.1266371009
39.611867839823,0,1,3,278.005658943711
94.2909780245882,1,0,1,478.856148383818
14.6238818606923,0,1,2,191.975963367084
35.2677773125587,1,1,1,266.859373008624
12.9122888222618,0,1,2,168.324694499909
41.2543846413564,0,0,2,122.61922998106
66.9109393026912,1,1,1,355.780932020347
72.5837504818746,0,1,0,267.00173892752
51.7833666652078,1,1,2,380.187065777542
36.2320826057546,0,1,1,283.823514330198
24.1998739713303,0,1,2,60.4703199850139
-38.0821479201847,0,1,2,-153.756343422445
31.8806883672607,1,1,1,313.188586715373
