Operating_System,Sessions,New_Sessions,New_Users,Bounce_Rate,PagesPerSession,AvgSessionDuration,Month
iOS,332291,47.75%,158674,60.79%,2.34,0:02:11,01/01/2015 12:00:00 AM
Android,170107,45.53%,77453,58.14%,2.98,0:03:53,01/01/2015 12:00:00 AM
Windows,27325,44.76%,12231,44.6%,3.26,0:02:40,01/01/2015 12:00:00 AM
Windows Phone,10109,45.71%,4621,59.01%,2.14,0:01:45,01/01/2015 12:00:00 AM
BlackBerry,1375,39.27%,540,62.98%,2.1,0:02:24,01/01/2015 12:00:00 AM
(not set),408,83.09%,339,72.3%,1.82,0:01:01,01/01/2015 12:00:00 AM
Series40,151,91.39%,138,66.23%,1.37,0:00:09,01/01/2015 12:00:00 AM
Samsung,44,86.36%,38,56.82%,1.57,0:00:20,01/01/2015 12:00:00 AM
Nokia,25,100%,25,100%,1,0:00:00,01/01/2015 12:00:00 AM
LG,13,100%,13,46.15%,1.92,0:02:52,01/01/2015 12:00:00 AM
Bada,6,100%,6,100%,1,0:00:00,01/01/2015 12:00:00 AM
Firefox OS,6,100%,6,100%,1,0:00:00,01/01/2015 12:00:00 AM
Nintendo 3DS,6,100%,6,0%,2.17,0:00:48,01/01/2015 12:00:00 AM
Playstation Vita,6,100%,6,100%,1,0:00:00,01/01/2015 12:00:00 AM
SymbianOS,6,100%,6,100%,1,0:00:00,01/01/2015 12:00:00 AM
iOS,294553,46.27%,136300,59.33%,2.44,0:02:26,02/01/2015 12:00:00 AM
Android,147692,44.86%,66261,56.81%,3.02,0:03:48,02/01/2015 12:00:00 AM
Windows,26601,42.83%,11392,43.72%,3.23,0:02:34,02/01/2015 12:00:00 AM
Windows Phone,8703,48.99%,4264,57.04%,2.19,0:01:51,02/01/2015 12:00:00 AM
BlackBerry,1525,41.84%,638,56.66%,2.76,0:03:54,02/01/2015 12:00:00 AM
(not set),503,75.15%,378,69.58%,1.98,0:01:24,02/01/2015 12:00:00 AM
Series40,158,100%,158,71.52%,1.32,0:00:25,02/01/2015 12:00:00 AM
SymbianOS,51,100%,51,88.24%,1.33,0:00:06,02/01/2015 12:00:00 AM
Samsung,40,100%,40,100%,1,0:00:00,02/01/2015 12:00:00 AM
Nokia,17,100%,17,100%,1,0:00:00,02/01/2015 12:00:00 AM
Playstation Vita,17,100%,17,0%,2.35,0:02:14,02/01/2015 12:00:00 AM
Bada,6,100%,6,100%,1,0:00:00,02/01/2015 12:00:00 AM
LG,6,100%,6,0%,1.83,0:08:00,02/01/2015 12:00:00 AM
iOS,344677,46.84%,161438,59.61%,2.28,0:02:15,03/01/2015 12:00:00 AM
Android,169304,45.37%,76819,57.37%,2.92,0:03:36,03/01/2015 12:00:00 AM
Windows,30705,43.07%,13225,45.49%,3.06,0:02:19,03/01/2015 12:00:00 AM
Windows Phone,10706,45.33%,4853,59.46%,2.14,0:01:46,03/01/2015 12:00:00 AM
BlackBerry,1407,43%,605,55.15%,2.75,0:03:25,03/01/2015 12:00:00 AM
(not set),375,91.2%,342,78.93%,1.59,0:00:50,03/01/2015 12:00:00 AM
Series40,217,88.02%,191,63.59%,1.67,0:01:20,03/01/2015 12:00:00 AM
Nokia,39,84.62%,33,84.62%,1.36,0:01:45,03/01/2015 12:00:00 AM
Samsung,20,100%,20,100%,1,0:00:00,03/01/2015 12:00:00 AM
Firefox OS,13,100%,13,53.85%,1.54,0:00:42,03/01/2015 12:00:00 AM
Playstation Vita,13,100%,13,100%,1,0:00:00,03/01/2015 12:00:00 AM
SymbianOS,13,100%,13,100%,1,0:00:00,03/01/2015 12:00:00 AM
Bada,7,100%,7,0%,2.86,0:03:18,03/01/2015 12:00:00 AM
LGE,7,100%,7,0%,1.86,0:00:55,03/01/2015 12:00:00 AM
MOT,7,100%,7,100%,1,0:00:00,03/01/2015 12:00:00 AM
iOS,349484,46.55%,162671,62.41%,2.19,0:02:01,04/01/2015 12:00:00 AM
Android,174739,45.13%,78852,59.23%,2.75,0:03:26,04/01/2015 12:00:00 AM
Windows,31384,41.11%,12902,44.97%,3.47,0:02:56,04/01/2015 12:00:00 AM
Windows Phone,10718,47.27%,5066,58.09%,2.13,0:01:56,04/01/2015 12:00:00 AM
BlackBerry,1245,53.41%,665,62.33%,1.93,0:01:25,04/01/2015 12:00:00 AM
