"x"	"i"	"j"	"k"	"y"
33.1029886578743	1	1	3	62.6356849056258
-1.74682761681104	1	1	1	219.637727339838
-6.43891740530628	1	1	1	5.78340583053799
55.5043229010373	1	1	3	311.322057634056
-21.0054547900848	1	0	1	-7.68138207930066
23.2876030381122	0	0	1	190.091622063336
114.829908168154	0	1	1	589.685510478906
63.4744158620651	1	1	3	384.208168808442
46.18509153524	1	1	1	384.25768389442
39.5685733633567	1	1	1	273.304476312871
-31.1970804181521	0	0	2	-255.978136550325
-13.6480252941433	0	0	2	-43.7704898442919
18.9867769755322	1	1	2	223.19393847929
-19.1681395858263	0	1	2	-31.6222501036042
45.472846458518	0	1	0	243.815035318215
80.9583157805428	1	0	2	271.877755244566
11.8956879326249	0	0	1	18.8803757161913
82.4207863578891	1	1	0	560.765493992251
106.927152444276	1	1	1	462.973138076875
-0.410071771417194	0	1	1	-9.58464981186189
65.4112558508043	1	1	1	554.008991558336
49.0888235867862	0	1	2	411.375916186073
48.5208720486719	1	1	1	299.52058264696
141.446119025792	1	1	2	755.596562733013
-24.5970653676861	1	1	1	-112.68633634563
-4.34840739717971	1	0	3	17.4817840114934
79.9170564266335	1	1	2	562.098366388573
44.8693707653817	0	0	2	411.587222235531
-6.27765391685245	0	0	1	1.79719605719303
4.14645082025834	1	0	2	73.4141658581095
-8.33504800731146	1	1	1	-31.9975932407443
20.5731194108838	0	1	2	179.049150292666
54.8623464328302	0	1	3	358.409626844791
39.1491648380269	0	0	2	130.635059761294
57.6325018859125	0	1	0	211.872886548765
90.0686313120909	0	1	2	491.360682418377
-18.4637104532662	1	0	2	-87.5786015238144
10.69287377257	0	1	1	212.06973793481
-3.53893182220496	0	0	2	-150.816130600828
3.70396070888491	1	0	2	40.9619226108158
52.6879021412773	0	1	1	322.298617421377
44.2907994299023	0	0	1	130.826129501694
78.5146667848906	0	0	1	374.353925184886
21.17547017061	1	1	2	84.441442724457
75.1373261606229	1	0	2	504.554035637046
39.9723310640317	0	0	1	-55.6727269917445
53.9465421096622	1	0	0	346.417137883895
-56.4863494589058	1	1	1	-42.6924746820138
56.7898745391809	0	0	1	157.75608302941
11.058209654979	0	1	3	-30.2191649846904
48.4203533022926	0	0	2	198.743048347884
61.5986926985882	1	0	1	460.711122847942
-14.6421099876228	0	1	2	-5.71033094571866
26.4041020077372	1	1	1	177.344251004222
128.024190295069	0	0	2	567.717910815046
-1.27485497557377	0	0	1	149.502817460063
8.02562425991753	0	0	2	84.3444492236642
4.22047630688976	0	0	1	-17.828135685764
97.5092661967013	1	0	1	391.985471244219
-37.9087734642182	0	1	2	-180.69736854454
-18.2768026960953	0	1	2	-26.8219480775492
43.9567845335407	1	1	2	151.808136208147
39.8919853665807	0	0	2	153.397325456016
-12.0763300051533	0	1	1	-15.6908604069488
90.4727228814783	1	1	1	461.852551713601
-15.7809998656739	1	0	1	68.1677439588959
-6.22854637422552	1	0	3	-42.7722830622747
101.482825451796	1	0	1	410.347135948474
46.4420717088775	0	0	0	326.137435299714
25.8443061800347	0	0	0	111.053689349898
116.948250929073	1	1	1	722.525754676142
-4.84231759856867	0	1	2	161.989139047719
38.9697143185944	0	0	1	165.407349683637
14.4929529219331	1	1	2	115.075126611713
93.8595138983348	1	1	3	535.95240425162
27.0898295087022	1	0	2	157.204594217441
43.0203040071091	0	0	1	260.710156680199
-5.04616942719068	1	0	1	-197.612336401847
47.5237020742523	1	1	1	152.53913384508
-0.751539795894146	1	1	2	10.6481334466385
106.853253667304	0	0	1	427.990828211803
16.2750686069582	1	1	2	222.247879841313
-19.9687845391205	1	0	1	-146.037445007178
-14.2313038046195	1	1	2	82.2014510486057
46.8720123712525	0	1	2	171.506976271799
60.5223073715724	1	1	1	423.226437963679
52.6397829882962	0	0	0	240.332748468417
16.7443612182723	0	1	2	68.1917618220079
13.3613578426488	1	1	1	125.121375200795
15.1869229944401	1	1	2	85.1748578053121
89.2716152480794	1	0	2	456.317209926072
112.572644873184	1	1	2	558.728569505143
40.0757578760097	0	0	1	113.216454810856
26.8924867849086	0	0	3	205.765272127914
-11.4563239979012	0	0	1	-133.780122633368
111.363373814848	0	0	2	497.073867546312
82.7708197345076	0	0	0	433.980697185375
29.435102620842	1	0	2	111.112308203187
45.6262321712129	1	1	1	125.625374856293
-23.8468520363157	0	0	2	-148.349465476127
2.76464431556195	1	0	1	-6.89794118005555
-31.541356907591	1	0	1	-139.227811514545
27.2674447650008	0	0	3	216.537898186695
21.0934637517931	1	1	2	220.823567371033
74.3956347325778	0	1	2	494.963106462318
12.8139405837206	0	0	1	329.398290270912
9.39598364941774	0	1	2	128.058471981598
43.6853717475903	0	1	1	294.250914707725
